Year,Season,seasonID,Area,Biomes,Count,areaID,Trend,Rainfall
2017,spring,3,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",193,1,2.01775,43.3
2018,spring,3,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",66,1,2.01875,12
2000,summer,0,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",,1,2,950.8
2001,summer,0,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",,1,2.001,720
2002,summer,0,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",,1,2.002,489.2
2003,summer,0,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",,1,2.003,993.4
2004,summer,0,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",,1,2.004,1497.6
2005,summer,0,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",,1,2.005,1157.5
2006,summer,0,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",,1,2.006,817.4
2007,summer,0,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",,1,2.007,1071.2
2008,summer,0,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",,1,2.008,1325
2009,summer,0,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",,1,2.009,984.8
2010,summer,0,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",,1,2.01,644.6
2011,summer,0,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",,1,2.011,808.8
2012,summer,0,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",,1,2.012,973
2013,summer,0,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",27,1,2.013,909.7
2014,summer,0,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",58,1,2.014,846.4
2015,summer,0,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",68,1,2.015,682.3
2016,summer,0,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",364,1,2.016,518.2
2017,summer,0,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",153,1,2.017,818.1
2018,summer,0,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",105,1,2.018,1118
2000,winter,2,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",,1,2.0005,8.4
2001,winter,2,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",,1,2.0015,4.5
2002,winter,2,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",,1,2.0025,0.6
2003,winter,2,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",,1,2.0035,7.6
2004,winter,2,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",,1,2.0045,14.6
2005,winter,2,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",,1,2.0055,12.2
2006,winter,2,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",,1,2.0065,9.8
2007,winter,2,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",,1,2.0075,13.9
2008,winter,2,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",,1,2.0085,18
2009,winter,2,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",50,1,2.0095,11.4
2010,winter,2,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",20,1,2.0105,4.8
2011,winter,2,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",,1,2.0115,4.7
2012,winter,2,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",33,1,2.0125,4.6
2013,winter,2,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",61,1,2.0135,2.3
2014,winter,2,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",73,1,2.0145,186
2015,winter,2,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",315,1,2.0155,8.8
2016,winter,2,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",318,1,2.0165,17.6
2017,winter,2,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",181,1,2.0175,11.2
2018,winter,2,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",25,1,2.0185,4.8
2000,autumn,1,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.00025,134.2
2001,autumn,1,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.00125,133.7
2002,autumn,1,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.00225,133.2
2003,autumn,1,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.00325,186.15
2004,autumn,1,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.00425,239.1
2005,autumn,1,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.00525,190.35
2006,autumn,1,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.00625,141.6
2007,autumn,1,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.00725,178.25
2008,autumn,1,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.00825,214.9
2009,autumn,1,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.00925,280.5
2010,autumn,1,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.01025,346.1
2011,autumn,1,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.01125,326.15
2012,autumn,1,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.01225,306.2
2013,autumn,1,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.01325,274.6
2014,autumn,1,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.01425,243
2015,autumn,1,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.01525,155.6
2016,autumn,1,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.01625,68.2
2017,autumn,1,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.01725,57.2
2018,autumn,1,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.01825,46.2
2000,spring,3,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.00075,302.2
2001,spring,3,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.00175,203.45
2002,spring,3,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.00275,104.7
2003,spring,3,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.00375,150.75
2004,spring,3,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.00475,196.8
2005,spring,3,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.00575,153.85
2006,spring,3,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.00675,110.9
2007,spring,3,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.00775,140.45
2008,spring,3,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.00875,170
2009,spring,3,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",1,2,2.00975,214.6
2010,spring,3,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.01075,259.2
2011,spring,3,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.01175,171.2
2012,spring,3,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.01275,83.2
2013,spring,3,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.01375,92.1
2014,spring,3,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.01475,101
2015,spring,3,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",6,2,2.01575,128.2
2016,spring,3,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.01675,155.4
2017,spring,3,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.01775,179
2018,spring,3,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",2,2,2.01875,202.6
2000,summer,0,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2,427
2001,summer,0,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.001,283.2
2002,summer,0,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.002,139.4
2003,summer,0,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.003,382.7
2004,summer,0,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.004,626
2005,summer,0,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.005,506.1
2006,summer,0,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.006,386.2
2007,summer,0,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.007,510.9
2008,summer,0,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.008,635.6
2009,summer,0,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.009,607.15
2010,summer,0,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.01,578.7
2011,summer,0,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.011,563.05
2012,summer,0,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.012,547.4
2013,summer,0,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.013,362.2
2014,summer,0,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.014,177
2015,summer,0,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.015,325.6
2016,summer,0,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.016,474.2
2017,summer,0,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.017,486.2
2018,summer,0,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.018,498.2
2000,winter,2,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.0005,87.8
2001,winter,2,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.0015,209
2002,winter,2,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.0025,330.2
2003,winter,2,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.0035,169.8
2004,winter,2,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.0045,9.4
2005,winter,2,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.0055,152.4
2006,winter,2,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.0065,295.4
2007,winter,2,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.0075,227.3
2008,winter,2,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.0085,159.2
2009,winter,2,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.0095,159.25
2010,winter,2,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.0105,159.3
2011,winter,2,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.0115,221.75
2012,winter,2,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.0125,284.2
2013,winter,2,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.0135,184.3
2014,winter,2,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.0145,84.4
2015,winter,2,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",4,2,2.0155,155.6
2016,winter,2,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.0165,226.8
2017,winter,2,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",,2,2.0175,129.4
2018,winter,2,Arnhem Plateau,"Tropical and subtropical grasslands, savannas, and shrublands",1,2,2.0185,32
2000,autumn,1,Australian Alps,Montane grasslands and shrublands,,3,2.00025,640
2001,autumn,1,Australian Alps,Montane grasslands and shrublands,,3,2.00125,622.1
2002,autumn,1,Australian Alps,Montane grasslands and shrublands,,3,2.00225,604.2
2003,autumn,1,Australian Alps,Montane grasslands and shrublands,,3,2.00325,421
2004,autumn,1,Australian Alps,Montane grasslands and shrublands,,3,2.00425,237.8
2005,autumn,1,Australian Alps,Montane grasslands and shrublands,,3,2.00525,192.1
2006,autumn,1,Australian Alps,Montane grasslands and shrublands,2,3,2.00625,146.4
2007,autumn,1,Australian Alps,Montane grasslands and shrublands,,3,2.00725,190.3
2008,autumn,1,Australian Alps,Montane grasslands and shrublands,,3,2.00825,234.2
2009,autumn,1,Australian Alps,Montane grasslands and shrublands,,3,2.00925,285.8
2010,autumn,1,Australian Alps,Montane grasslands and shrublands,2,3,2.01025,337.4
2011,autumn,1,Australian Alps,Montane grasslands and shrublands,,3,2.01125,418
2012,autumn,1,Australian Alps,Montane grasslands and shrublands,2,3,2.01225,498.6
2013,autumn,1,Australian Alps,Montane grasslands and shrublands,4,3,2.01325,486.1
2014,autumn,1,Australian Alps,Montane grasslands and shrublands,,3,2.01425,473.6
2015,autumn,1,Australian Alps,Montane grasslands and shrublands,1,3,2.01525,312.5
2016,autumn,1,Australian Alps,Montane grasslands and shrublands,11,3,2.01625,151.4
2017,autumn,1,Australian Alps,Montane grasslands and shrublands,3,3,2.01725,184
2018,autumn,1,Australian Alps,Montane grasslands and shrublands,6,3,2.01825,216.6
2000,spring,3,Australian Alps,Montane grasslands and shrublands,,3,2.00075,477
2001,spring,3,Australian Alps,Montane grasslands and shrublands,4,3,2.00175,275.15
2002,spring,3,Australian Alps,Montane grasslands and shrublands,,3,2.00275,73.3
2003,spring,3,Australian Alps,Montane grasslands and shrublands,4,3,2.00375,212.55
2004,spring,3,Australian Alps,Montane grasslands and shrublands,,3,2.00475,351.8
2005,spring,3,Australian Alps,Montane grasslands and shrublands,,3,2.00575,281
2006,spring,3,Australian Alps,Montane grasslands and shrublands,4,3,2.00675,210.2
2007,spring,3,Australian Alps,Montane grasslands and shrublands,,3,2.00775,275.6
2008,spring,3,Australian Alps,Montane grasslands and shrublands,,3,2.00875,341
2009,spring,3,Australian Alps,Montane grasslands and shrublands,,3,2.00975,425
2010,spring,3,Australian Alps,Montane grasslands and shrublands,,3,2.01075,509
2011,spring,3,Australian Alps,Montane grasslands and shrublands,4,3,2.01175,316.95
2012,spring,3,Australian Alps,Montane grasslands and shrublands,,3,2.01275,124.9
2013,spring,3,Australian Alps,Montane grasslands and shrublands,,3,2.01375,175.85
2014,spring,3,Australian Alps,Montane grasslands and shrublands,,3,2.01475,226.8
2015,spring,3,Australian Alps,Montane grasslands and shrublands,6,3,2.01575,195.7
2016,spring,3,Australian Alps,Montane grasslands and shrublands,4,3,2.01675,164.6
2017,spring,3,Australian Alps,Montane grasslands and shrublands,12,3,2.01775,341.9
2018,spring,3,Australian Alps,Montane grasslands and shrublands,12,3,2.01875,519.2
2000,summer,0,Australian Alps,Montane grasslands and shrublands,,3,2,449.9
2001,summer,0,Australian Alps,Montane grasslands and shrublands,2,3,2.001,626.7
2002,summer,0,Australian Alps,Montane grasslands and shrublands,2,3,2.002,803.5
2003,summer,0,Australian Alps,Montane grasslands and shrublands,,3,2.003,531.45
2004,summer,0,Australian Alps,Montane grasslands and shrublands,4,3,2.004,259.4
2005,summer,0,Australian Alps,Montane grasslands and shrublands,2,3,2.005,263.3
2006,summer,0,Australian Alps,Montane grasslands and shrublands,,3,2.006,267.2
2007,summer,0,Australian Alps,Montane grasslands and shrublands,,3,2.007,424.6
2008,summer,0,Australian Alps,Montane grasslands and shrublands,,3,2.008,582
2009,summer,0,Australian Alps,Montane grasslands and shrublands,,3,2.009,598.8
2010,summer,0,Australian Alps,Montane grasslands and shrublands,,3,2.01,615.6
2011,summer,0,Australian Alps,Montane grasslands and shrublands,,3,2.011,579.1
2012,summer,0,Australian Alps,Montane grasslands and shrublands,2,3,2.012,542.6
2013,summer,0,Australian Alps,Montane grasslands and shrublands,2,3,2.013,352
2014,summer,0,Australian Alps,Montane grasslands and shrublands,8,3,2.014,161.4
2015,summer,0,Australian Alps,Montane grasslands and shrublands,10,3,2.015,297.5
2016,summer,0,Australian Alps,Montane grasslands and shrublands,5,3,2.016,433.6
2017,summer,0,Australian Alps,Montane grasslands and shrublands,13,3,2.017,389.8
2018,summer,0,Australian Alps,Montane grasslands and shrublands,8,3,2.018,346
2000,winter,2,Australian Alps,Montane grasslands and shrublands,,3,2.0005,316
2001,winter,2,Australian Alps,Montane grasslands and shrublands,,3,2.0015,200.5
2002,winter,2,Australian Alps,Montane grasslands and shrublands,,3,2.0025,85
2003,winter,2,Australian Alps,Montane grasslands and shrublands,,3,2.0035,94
2004,winter,2,Australian Alps,Montane grasslands and shrublands,,3,2.0045,103
2005,winter,2,Australian Alps,Montane grasslands and shrublands,,3,2.0055,262.3
2006,winter,2,Australian Alps,Montane grasslands and shrublands,,3,2.0065,421.6
2007,winter,2,Australian Alps,Montane grasslands and shrublands,,3,2.0075,370.05
2008,winter,2,Australian Alps,Montane grasslands and shrublands,,3,2.0085,318.5
2009,winter,2,Australian Alps,Montane grasslands and shrublands,,3,2.0095,245.65
2010,winter,2,Australian Alps,Montane grasslands and shrublands,,3,2.0105,172.8
2011,winter,2,Australian Alps,Montane grasslands and shrublands,,3,2.0115,193.7
2012,winter,2,Australian Alps,Montane grasslands and shrublands,,3,2.0125,214.6
2013,winter,2,Australian Alps,Montane grasslands and shrublands,,3,2.0135,387
2014,winter,2,Australian Alps,Montane grasslands and shrublands,,3,2.0145,559.4
2015,winter,2,Australian Alps,Montane grasslands and shrublands,2,3,2.0155,611.5
2016,winter,2,Australian Alps,Montane grasslands and shrublands,4,3,2.0165,663.6
2017,winter,2,Australian Alps,Montane grasslands and shrublands,,3,2.0175,380.7
2018,winter,2,Australian Alps,Montane grasslands and shrublands,7,3,2.0185,97.8
2000,autumn,1,Avon Wheatbelt,"Tropical and subtropical grasslands, savannas, and shrublands",,4,2.00025,132.7
2001,autumn,1,Avon Wheatbelt,"Tropical and subtropical grasslands, savannas, and shrublands",,4,2.00125,79.35
2002,autumn,1,Avon Wheatbelt,"Tropical and subtropical grasslands, savannas, and shrublands",,4,2.00225,26
2003,autumn,1,Avon Wheatbelt,"Tropical and subtropical grasslands, savannas, and shrublands",,4,2.00325,51.4
2004,autumn,1,Avon Wheatbelt,"Tropical and subtropical grasslands, savannas, and shrublands",,4,2.00425,76.8
2005,autumn,1,Avon Wheatbelt,"Tropical and subtropical grasslands, savannas, and shrublands",,4,2.00525,67.4
2006,autumn,1,Avon Wheatbelt,"Tropical and subtropical grasslands, savannas, and shrublands",,4,2.00625,58
2007,autumn,1,Avon Wheatbelt,"Tropical and subtropical grasslands, savannas, and shrublands",,4,2.00725,67.2
2008,autumn,1,Avon Wheatbelt,"Tropical and subtropical grasslands, savannas, and shrublands",,4,2.00825,76.4
2009,autumn,1,Avon Wheatbelt,"Tropical and subtropical grasslands, savannas, and shrublands",,4,2.00925,69.85
2010,autumn,1,Avon Wheatbelt,"Tropical and subtropical grasslands, savannas, and shrublands",,4,2.01025,63.3
2011,autumn,1,Avon Wheatbelt,"Tropical and subtropical grasslands, savannas, and shrublands",,4,2.01125,47.85
2012,autumn,1,Avon Wheatbelt,"Tropical and subtropical grasslands, savannas, and shrublands",,4,2.01225,32.4
2013,autumn,1,Avon Wheatbelt,"Tropical and subtropical grasslands, savannas, and shrublands",,4,2.01325,61.65
2014,autumn,1,Avon Wheatbelt,"Tropical and subtropical grasslands, savannas, and shrublands",,4,2.01425,90.9
2015,autumn,1,Avon Wheatbelt,"Tropical and subtropical grasslands, savannas, and shrublands",,4,2.01525,131.15
2016,autumn,1,Avon Wheatbelt,"Tropical and subtropical grasslands, savannas, and shrublands",,4,2.01625,171.4
2017,autumn,1,Avon Wheatbelt,"Tropical and subtropical grasslands, savannas, and shrublands",,4,2.01725,102.1
2018,autumn,1,Avon Wheatbelt,"Tropical and subtropical grasslands, savannas, and shrublands",,4,2.01825,32.8
2000,spring,3,Avon Wheatbelt,"Tropical and subtropical grasslands, savannas, and shrublands",,4,2.00075,29.1
2001,spring,3,Avon Wheatbelt,"Tropical and subtropical grasslands, savannas, and shrublands",,4,2.00175,28.8
2002,spring,3,Avon Wheatbelt,"Tropical and subtropical grasslands, savannas, and shrublands",,4,2.00275,28.5
2003,spring,3,Avon Wheatbelt,"Tropical and subtropical grasslands, savannas, and shrublands",,4,2.00375,33.075
2004,spring,3,Avon Wheatbelt,"Tropical and subtropical grasslands, savannas, and shrublands",,4,2.00475,37.65
2005,spring,3,Avon Wheatbelt,"Tropical and subtropical grasslands, savannas, and shrublands",,4,2.00575,51.175
2006,spring,3,Avon Wheatbelt,"Tropical and subtropical grasslands, savannas, and shrublands",,4,2.00675,64.7
2007,spring,3,Avon Wheatbelt,"Tropical and subtropical grasslands, savannas, and shrublands",,4,2.00775,71.85
2008,spring,3,Avon Wheatbelt,"Tropical and subtropical grasslands, savannas, and shrublands",,4,2.00875,79
2009,spring,3,Avon Wheatbelt,"Tropical and subtropical grasslands, savannas, and shrublands",,4,2.00975,54
2010,spring,3,Avon Wheatbelt,"Tropical and subtropical grasslands, savannas, and shrublands",,4,2.01075,29
2011,spring,3,Avon Wheatbelt,"Tropical and subtropical grasslands, savannas, and shrublands",,4,2.01175,69.95
2012,spring,3,Avon Wheatbelt,"Tropical and subtropical grasslands, savannas, and shrublands",,4,2.01275,110.9
2013,spring,3,Avon Wheatbelt,"Tropical and subtropical grasslands, savannas, and shrublands",,4,2.01375,78.5
2014,spring,3,Avon Wheatbelt,"Tropical and subtropical grasslands, savannas, and shrublands",,4,2.01475,46.1
2015,spring,3,Avon Wheatbelt,"Tropical and subtropical grasslands, savannas, and shrublands",,4,2.01575,41.55
2016,spring,3,Avon Wheatbelt,"Tropical and subtropical grasslands, savannas, and shrublands",,4,2.01675,37
2017,spring,3,Avon Wheatbelt,"Tropical and subtropical grasslands, savannas, and shrublands",,4,2.01775,49.6
2018,spring,3,Avon Wheatbelt,"Tropical and subtropical grasslands, savannas, and shrublands",,4,2.01875,62.2
2000,summer,0,Avon Wheatbelt,"Tropical and subtropical grasslands, savannas, and shrublands",,4,2,160.4
2001,summer,0,Avon Wheatbelt,"Tropical and subtropical grasslands, savannas, and shrublands",,4,2.001,82.8
2002,summer,0,Avon Wheatbelt,"Tropical and subtropical grasslands, savannas, and shrublands",,4,2.002,5.2
2003,summer,0,Avon Wheatbelt,"Tropical and subtropical grasslands, savannas, and shrublands",,4,2.003,13.65
2004,summer,0,Avon Wheatbelt,"Tropical and subtropical grasslands, savannas, and shrublands",,4,2.004,22.1
2005,summer,0,Avon Wheatbelt,"Tropical and subtropical grasslands, savannas, and shrublands",,4,2.005,81.7
2006,summer,0,Avon Wheatbelt,"Tropical and subtropical grasslands, savannas, and shrublands",,4,2.006,141.3
2007,summer,0,Avon Wheatbelt,"Tropical and subtropical grasslands, savannas, and shrublands",,4,2.007,116.15
